day,lot_number,title,estimate_low,estimate_high,current_bid,bid_count,image_count,url
day3,3423,"RONAL A. PARLIN (ME, 1956 - )",1000,1500,500,3,4,https://live.thomastonauction.com/auction-lot/ronal-a-parlin-me-1956_cebc3b602e
day3,3424,"RONAL A. PARLIN (ME, 1956 - )",1000,1500,500,3,4,https://live.thomastonauction.com/auction-lot/ronal-a-parlin-me-1956_e01d6219b7
day3,3088,"RONALD GOLDFINGER (CA, 1946-2021)",2000,3000,1000,3,4,https://live.thomastonauction.com/auction-lot/ronald-goldfinger-ca-1946-2021_42af62bfaf
day3,3015,"ROSA BONHEUR (US/FRANCE, 1822-1899)",600,800,250,3,3,https://live.thomastonauction.com/auction-lot/rosa-bonheur-us-france-1822-1899_381577ea83
day3,3089,"RUSSELL WRAY (CA, 1955 - )",1200,1600,600,3,4,https://live.thomastonauction.com/auction-lot/russell-wray-ca-1955_83c38c4c14
day3,3087,"RUSSELL WRAY (CA, 1955 - )",1500,2000,750,3,3,https://live.thomastonauction.com/auction-lot/russell-wray-ca-1955_974588054c
day3,3085,"RUSSELL WRAY (NY, 1955 - )",4000,6000,2000,3,2,https://live.thomastonauction.com/auction-lot/russell-wray-ny-1955_1bf34ae34a
day3,3080,"S.C. YUAN (CA, 1911-1974)",6000,8000,3000,3,4,https://live.thomastonauction.com/auction-lot/s-c-yuan-ca-1911-1974_d6de928546
day3,3375,"SALLY CALDWELL FISHER (ME/MI, 1951 - )",1500,2500,750,3,5,https://live.thomastonauction.com/auction-lot/sally-caldwell-fisher-me-mi-1951_a99b6a2d7f
day3,3043,"SALTERINI ""RADAR"" IRON TETE-A-TETE BISTRO SET",500,700,100,3,1,https://live.thomastonauction.com/auction-lot/salterini-radar-iron-tete-a-tete-bistro-set_29673ea4e3
day3,3392,"SARAH KNOCK (ME, 1947 - )",1500,2000,750,3,4,https://live.thomastonauction.com/auction-lot/sarah-knock-me-1947_d695047d30
day3,3462,"SARAH WILDE (CONTEMPORARY AMERICAN)",1000,1500,500,3,2,https://live.thomastonauction.com/auction-lot/sarah-wilde-contemporary-american_145dcea372
day3,3461,"SARAH WILDE (CONTEMPORARY AMERICAN)",1000,1500,500,3,2,https://live.thomastonauction.com/auction-lot/sarah-wilde-contemporary-american_a05cb7192b
